{Appliances} -> {Accessories} (conf: 0.133, supp: 0.012, lift: 0.928, conv: 0.988)
{Accessories} -> {Appliances} (conf: 0.084, supp: 0.012, lift: 0.928, conv: 0.993)
{Art} -> {Accessories} (conf: 0.122, supp: 0.018, lift: 0.849, conv: 0.975)
{Accessories} -> {Art} (conf: 0.124, supp: 0.018, lift: 0.849, conv: 0.975)
{Binders} -> {Accessories} (conf: 0.122, supp: 0.032, lift: 0.853, conv: 0.976)
{Accessories} -> {Binders} (conf: 0.224, supp: 0.032, lift: 0.853, conv: 0.950)
{Bookcases} -> {Accessories} (conf: 0.129, supp: 0.006, lift: 0.903, conv: 0.984)
{Chairs} -> {Accessories} (conf: 0.111, supp: 0.013, lift: 0.775, conv: 0.964)
{Accessories} -> {Chairs} (conf: 0.089, supp: 0.013, lift: 0.775, conv: 0.972)
{Envelopes} -> {Accessories} (conf: 0.129, supp: 0.006, lift: 0.897, conv: 0.983)
{Fasteners} -> {Accessories} (conf: 0.126, supp: 0.005, lift: 0.876, conv: 0.980)
{Furnishings} -> {Accessories} (conf: 0.131, supp: 0.023, lift: 0.915, conv: 0.986)
{Accessories} -> {Furnishings} (conf: 0.160, supp: 0.023, lift: 0.915, conv: 0.982)
{Labels} -> {Accessories} (conf: 0.136, supp: 0.009, lift: 0.948, conv: 0.991)
{Accessories} -> {Labels} (conf: 0.065, supp: 0.009, lift: 0.948, conv: 0.996)
{Machines} -> {Accessories} (conf: 0.196, supp: 0.004, lift: 1.370, conv: 1.066)
{Paper} -> {Accessories} (conf: 0.128, supp: 0.031, lift: 0.896, conv: 0.983)
{Accessories} -> {Paper} (conf: 0.213, supp: 0.031, lift: 0.896, conv: 0.969)
{Phones} -> {Accessories} (conf: 0.143, supp: 0.023, lift: 0.994, conv: 0.999)
{Accessories} -> {Phones} (conf: 0.162, supp: 0.023, lift: 0.994, conv: 0.999)
{Storage} -> {Accessories} (conf: 0.133, supp: 0.021, lift: 0.925, conv: 0.988)
{Accessories} -> {Storage} (conf: 0.143, supp: 0.021, lift: 0.925, conv: 0.986)
{Supplies} -> {Accessories} (conf: 0.134, supp: 0.005, lift: 0.933, conv: 0.989)
{Tables} -> {Accessories} (conf: 0.143, supp: 0.009, lift: 1.000, conv: 1.000)
{Accessories} -> {Tables} (conf: 0.061, supp: 0.009, lift: 1.000, conv: 1.000)
{Art} -> {Appliances} (conf: 0.081, supp: 0.012, lift: 0.896, conv: 0.990)
{Appliances} -> {Art} (conf: 0.131, supp: 0.012, lift: 0.896, conv: 0.983)
{Binders} -> {Appliances} (conf: 0.099, supp: 0.026, lift: 1.097, conv: 1.010)
{Appliances} -> {Binders} (conf: 0.288, supp: 0.026, lift: 1.097, conv: 1.036)
{Chairs} -> {Appliances} (conf: 0.082, supp: 0.009, lift: 0.906, conv: 0.991)
{Appliances} -> {Chairs} (conf: 0.104, supp: 0.009, lift: 0.906, conv: 0.988)
{Envelopes} -> {Appliances} (conf: 0.084, supp: 0.004, lift: 0.937, conv: 0.994)
